SMS_pers_legacy_id_ssd1,SMS_pers_person_id_ssd1,SMS_pers_legacy_id_ssd2,SMS_pers_person_id_ssd2,SMS_pers_legacy_id_ssd3,SMS_pers_person_id_ssd3,Az_pers_legacy_id_ssd1,Az_pers_person_id_ssd1,Az_pers_legacy_id_ssd2,Az_pers_person_id_ssd2,Az_pers_legacy_id_ssd3,Az_pers_person_id_ssd3,cincplac_pers_legacy_id,cincplac_pers_person_id
P4058078,101379,P4058078,101379,P3071693,40240,P4058078,101379,P4058078,101379,P3071693,40240,P4190403,159362
P4058257,101479,P4058257,101479,P3072485,40523,P4058257,101479,P4058257,101479,P3072485,40523,P4190429,159373
P4058378,101540,P4058378,101540,P3072879,40623,P4058378,101540,P4058378,101540,P3072879,40623,P4121643,125752
P4058435,101570,P4058435,101570,P3073048,40678,P4058435,101570,P4058435,101570,P3073048,40678,7046799,7046799
P4058535,101621,P4058535,101621,P3073049,40679,P4058535,101621,P4058535,101621,P3073049,40679,7046800,7046800
P4058540,101623,P4058540,101623,P3075132,41376,P4058540,101623,P4058540,101623,P3075132,41376,7046863,7046863
P4059088,101900,P4059088,101900,P3077135,42043,P4059088,101900,P4059088,101900,P3077135,42043,7205713,7205713
P4059520,102086,P4059520,102086,P3077136,42044,P4059520,102086,P4059520,102086,P3077136,42044,7205821,7205821
P4059872,102227,P4059872,102227,P3078376,42444,P4059872,102227,P4059872,102227,P3078376,42444,P4122159,126024
P4059874,102228,P4059874,102228,P3079266,42788,P4059874,102228,P4059874,102228,P3079266,42788,7047041,7047041
P4059933,102261,P4059933,102261,P3079284,42801,P4059933,102261,P4059933,102261,P3079284,42801,P4122712,126300
P4068791,105374,P4068791,105374,P3082641,44001,P4068791,105374,P4068791,105374,P3082641,44001,P4122771,126322
P4069007,105512,P4069007,105512,P3082862,44093,P4069007,105512,P4069007,105512,P3082862,44093,P4122790,126329
P4069017,105522,P4069017,105522,P3083512,44336,P4069017,105522,P4069017,105522,P3083512,44336,P4122804,126336
P4069748,105807,P4069748,105807,P3085909,45206,P4069748,105807,P4069748,105807,P3085909,45206,P4123020,126425
P4069999,105901,P4069999,105901,P3085910,45207,P4069999,105901,P4069999,105901,P3085910,45207,7205914,7205914
P4071364,106409,P4071364,106409,P3086037,45241,P4071364,106409,P4071364,106409,P3086037,45241,7047258,7047258
P4071496,106463,P4071496,106463,P3087436,45723,P4071496,106463,P4071496,106463,P3087436,45723,7047259,7047259
P4071863,106592,P4071863,106592,P3088998,46289,P4071863,106592,P4071863,106592,P3088998,46289,7047262,7047262
P4072362,106810,P4072362,106810,P3091292,47202,P4072362,106810,P4072362,106810,P3091292,47202,P4191187,159804
P4072606,106926,P4072606,106926,P3091838,47408,P4072606,106926,P4072606,106926,P3091838,47408,P4124942,127231
P4072915,107048,P4072915,107048,P3091839,47409,P4072915,107048,P4072915,107048,P3091839,47409,P4124962,127240
P4073046,107102,P4073046,107102,P3093073,47860,P4073046,107102,P4073046,107102,P3093073,47860,P4125619,127540
P4073237,107181,P4073237,107181,P3095878,48886,P4073237,107181,P4073237,107181,P3095878,48886,P4125972,127703
P4073280,107204,P4073280,107204,P3095938,48903,P4073280,107204,P4073280,107204,P3095938,48903,P4126032,127727
P4073282,107206,P4073282,107206,P3097553,49490,P4073282,107206,P4073282,107206,P3097553,49490,P4191776,160120
P4073358,107232,P4073358,107232,P3098308,49763,P4073358,107232,P4073358,107232,P3098308,49763,7206375,7206375
P4073386,107243,P4073386,107243,P3098962,49952,P4073386,107243,P4073386,107243,P3098962,49952,7047532,7047532
P4073522,107294,P4073522,107294,P3099248,50049,P4073522,107294,P4073522,107294,P3099248,50049,7047533,7047533
P4073800,107407,P4073800,107407,P3100467,50481,P4073800,107407,P4073800,107407,P3100467,50481,7047540,7047540
P4074466,107654,P4074466,107654,P3101399,50829,P4074466,107654,P4074466,107654,P3101399,50829,P4126683,128028
P4074468,107656,P4074468,107656,P3102165,51092,P4074468,107656,P4074468,107656,P3102165,51092,P4126832,128100
P4074469,107657,P4074469,107657,P3102230,51141,P4074469,107657,P4074469,107657,P3102230,51141,P4126846,128108
P4074650,107718,P4074650,107718,P3104844,52042,P4074650,107718,P4074650,107718,P3104844,52042,7047696,7047696
P4074693,107731,P4074693,107731,P3104845,52043,P4074693,107731,P4074693,107731,P3104845,52043,P4191945,160195
P4074795,107782,P4074795,107782,P3106011,52442,P4074795,107782,P4074795,107782,P3106011,52442,P4127785,128495
P4074947,107841,P4074947,107841,P3106961,52761,P4074947,107841,P4074947,107841,P3106961,52761,7047800,7047800
P4075060,107895,P4075060,107895,P3107651,53045,P4075060,107895,P4075060,107895,P3107651,53045,7047803,7047803
P4075139,107930,P4075139,107930,P3109466,53714,P4075139,107930,P4075139,107930,P3109466,53714,7047888,7047888
P4075213,107956,P4075213,107956,P3109467,53715,P4075213,107956,P4075213,107956,P3109467,53715,P4192396,160475
P4075660,108139,P4075660,108139,P3109759,53816,P4075660,108139,P4075660,108139,P3109759,53816,P4192400,160479
P4075986,108262,P4075986,108262,P3109760,53817,P4075986,108262,P4075986,108262,P3109760,53817,P4192405,160484
P4076792,108607,P4076792,108607,P3109916,53875,P4076792,108607,P4076792,108607,P3109916,53875,P4192412,160489
P4077034,108696,P4077034,108696,P3112853,54970,P4077034,108696,P4077034,108696,P3112853,54970,P4192413,160490
P4077222,108771,P4077222,108771,P3113147,55084,P4077222,108771,P4077222,108771,P3113147,55084,P4192417,160493
P4077238,108775,P4077238,108775,P3114421,55509,P4077238,108775,P4077238,108775,P3114421,55509,P4128407,128766
P4077537,108890,P4077537,108890,P3114422,55510,P4077537,108890,P4077537,108890,P3114422,55510,P4128523,128840
P4077700,108965,P4077700,108965,P3114424,55512,P4077700,108965,P4077700,108965,P3114424,55512,7048011,7048011
P4078190,109147,P4078190,109147,P3114582,55581,P4078190,109147,P4078190,109147,P3114582,55581,P4192617,160584
P4078305,109205,P4078305,109205,P3115886,56132,P4078305,109205,P4078305,109205,P3115886,56132,P4129400,129221
P4078693,109341,P4078693,109341,P3116259,56296,P4078693,109341,P4078693,109341,P3116259,56296,P4129644,129325
P4078775,109370,P4078775,109370,P3118043,56911,P4078775,109370,P4078775,109370,P3118043,56911,7206758,7206758
P4078877,109410,P4078877,109410,P3118474,57064,P4078877,109410,P4078877,109410,P3118474,57064,7206813,7206813
P4078886,109416,P4078886,109416,P3119755,57537,P4078886,109416,P4078886,109416,P3119755,57537,7048200,7048200
P4078887,109417,P4078887,109417,P3123246,58810,P4078887,109417,P4078887,109417,P3123246,58810,P4129803,129398
P4079193,109548,P4079193,109548,P3123444,58869,P4079193,109548,P4079193,109548,P3123444,58869,P4129867,129437
P4079422,109641,P4079422,109641,P3126544,60049,P4079422,109641,P4079422,109641,P3126544,60049,P4130438,129706
P4079562,109692,P4079562,109692,P3127214,60274,P4079562,109692,P4079562,109692,P3127214,60274,P4193141,160864
P4079877,109834,P4079877,109834,P3127501,60360,P4079877,109834,P4079877,109834,P3127501,60360,7206918,7206918
P4079878,109835,P4079878,109835,P3128419,60691,P4079878,109835,P4079878,109835,P3128419,60691,P4130660,129790
P4079993,109881,P4079993,109881,P3130584,61445,P4079993,109881,P4079993,109881,P3130584,61445,P4131139,130004
P4080051,109905,P4080051,109905,P3130587,61448,P4080051,109905,P4080051,109905,P3130587,61448,P4131272,130064
P4080096,109926,P4080096,109926,P3131743,61865,P4080096,109926,P4080096,109926,P3131743,61865,P4131310,130084
P4081167,110389,P4081167,110389,P3132011,62012,P4081167,110389,P4081167,110389,P3132011,62012,P4193340,160967
P4081299,110422,P4081299,110422,P3133271,62397,P4081299,110422,P4081299,110422,P3133271,62397,7048450,7048450
P4081461,110470,P4081461,110470,P3133375,62435,P4081461,110470,P4081461,110470,P3133375,62435,S737473,7130697
P4081912,110593,P4081912,110593,P3133861,62619,P4081912,110593,P4081912,110593,P3133861,62619,P4131509,130162
P4081923,110597,P4081923,110597,P3135837,63336,P4081923,110597,P4081923,110597,P3135837,63336,P4131536,130174
P4081944,110611,P4081944,110611,P3135838,63337,P4081944,110611,P4081944,110611,P3135838,63337,P4132089,130439
P4081969,110625,P4081969,110625,P3136016,63398,P4081969,110625,P4081969,110625,P3136016,63398,P4193601,161126
P4082022,110654,P4082022,110654,P3139380,64593,P4082022,110654,P4082022,110654,P3139380,64593,7048479,7048479
P4082193,110713,P4082193,110713,P3139567,64758,P4082193,110713,P4082193,110713,P3139567,64758,P4132371,130551
P4082775,110910,P4082775,110910,P3140157,65283,P4082775,110910,P4082775,110910,P3140157,65283,P4132609,130645
P4082996,111005,P4082996,111005,P3140314,65419,P4082996,111005,P4082996,111005,P3140314,65419,P4132868,130750
P4083699,111310,P4083699,111310,P3140357,65459,P4083699,111310,P4083699,111310,P3140357,65459,P4133097,130829
P4083714,111319,P4083714,111319,P3140918,65953,P4083714,111319,P4083714,111319,P3140918,65953,7048491,7048491
P4083730,111327,P4083730,111327,P3141004,66029,P4083730,111327,P4083730,111327,P3141004,66029,7048493,7048493
P4083954,111428,P4083954,111428,P3141043,66065,P4083954,111428,P4083954,111428,P3141043,66065,P4133668,131093
P4084102,111501,P4084102,111501,P3141044,66066,P4084102,111501,P4084102,111501,P3141044,66066,P4133670,131095
P4084940,111786,P4084940,111786,P3141215,66212,P4084940,111786,P4084940,111786,P3141215,66212,P4133905,131198
P4084987,111806,P4084987,111806,P3141364,66344,P4084987,111806,P4084987,111806,P3141364,66344,P4193932,161320
P4084988,111807,P4084988,111807,P3141568,66523,P4084988,111807,P4084988,111807,P3141568,66523,P4193978,161351
P4085027,111816,P4085027,111816,P3141880,66795,P4085027,111816,P4085027,111816,P3141880,66795,P4193980,161352
P4085405,111953,P4085405,111953,P3141999,66903,P4085405,111953,P4085405,111953,P3141999,66903,7048748,7048748
P4085591,112022,P4085591,112022,P3142117,67009,P4085591,112022,P4085591,112022,P3142117,67009,P4134266,131368
P4086257,112240,P4086257,112240,P3142172,67057,P4086257,112240,P4086257,112240,P3142172,67057,P4134504,131489
P4086369,112281,P4086369,112281,P3142238,67113,P4086369,112281,P4086369,112281,P3142238,67113,P4134505,131490
P4086578,112372,P4086578,112372,P3142361,67221,P4086578,112372,P4086578,112372,P3142361,67221,P4194508,161629
P4086704,112434,P4086704,112434,P3142522,67369,P4086704,112434,P4086704,112434,P3142522,67369,P4194510,161631
P4086746,112456,P4086746,112456,P3142590,67429,P4086746,112456,P4086746,112456,P3142590,67429,7207421,7207421
P4086844,112504,P4086844,112504,P3142791,67609,P4086844,112504,P4086844,112504,P3142791,67609,P4134862,131661
P4086922,112534,P4086922,112534,P3142938,67744,P4086922,112534,P4086922,112534,P3142938,67744,P4135544,131947
P4086989,112548,P4086989,112548,P3142986,67791,P4086989,112548,P4086989,112548,P3142986,67791,P4135566,131955
P4087243,112619,P4087243,112619,P3143008,67812,P4087243,112619,P4087243,112619,P3143008,67812,P4135569,131956
P4087771,112820,P4087771,112820,P3143147,67916,P4087771,112820,P4087771,112820,P3143147,67916,P4136428,132325
