source_system,source_file,schema_name,table_name,field_name,table_field,ordinal_position,data_type,size_text,full_type,max_length,numeric_precision,numeric_scale,is_nullable
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_named_plan,ehcn_named_plan_ceased_reason,ssd_ehcp_named_plan.ehcn_named_plan_ceased_reason,5,nvarchar,100,nvarchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_requests,ehcr_ehcp_request_id,ssd_ehcp_requests.ehcr_ehcp_request_id,1,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_requests,ehcr_send_table_id,ssd_ehcp_requests.ehcr_send_table_id,2,nvarchar,48,nvarchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_requests,ehcr_ehcp_req_date,ssd_ehcp_requests.ehcr_ehcp_req_date,3,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_requests,ehcr_ehcp_req_outcome_date,ssd_ehcp_requests.ehcr_ehcp_req_outcome_date,4,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_ehcp_requests,ehcr_ehcp_req_outcome,ssd_ehcp_requests.ehcr_ehcp_req_outcome,5,nvarchar,100,nvarchar(100),100,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_immigration_status,immi_person_id,ssd_immigration_status.immi_person_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_immigration_status,immi_immigration_status_id,ssd_immigration_status.immi_immigration_status_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_immigration_status,immi_immigration_status,ssd_immigration_status.immi_immigration_status,3,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_immigration_status,immi_immigration_status_start_date,ssd_immigration_status.immi_immigration_status_start_date,4,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_immigration_status,immi_immigration_status_end_date,ssd_immigration_status.immi_immigration_status_end_date,5,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_id,ssd_initial_cp_conference.icpc_icpc_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_meeting_id,ssd_initial_cp_conference.icpc_icpc_meeting_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_s47_enquiry_id,ssd_initial_cp_conference.icpc_s47_enquiry_id,3,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_person_id,ssd_initial_cp_conference.icpc_person_id,4,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_cp_plan_id,ssd_initial_cp_conference.icpc_cp_plan_id,5,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_referral_id,ssd_initial_cp_conference.icpc_referral_id,6,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_transfer_in,ssd_initial_cp_conference.icpc_icpc_transfer_in,7,varchar,1,varchar(1),1,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_target_date,ssd_initial_cp_conference.icpc_icpc_target_date,8,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_date,ssd_initial_cp_conference.icpc_icpc_date,9,datetime,,datetime,,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_outcome_cp_flag,ssd_initial_cp_conference.icpc_icpc_outcome_cp_flag,10,varchar,1,varchar(1),1,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_outcome_json,ssd_initial_cp_conference.icpc_icpc_outcome_json,11,varchar,500,varchar(500),500,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_team,ssd_initial_cp_conference.icpc_icpc_team,12,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_initial_cp_conference,icpc_icpc_worker_id,ssd_initial_cp_conference.icpc_icpc_worker_id,13,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_involvements_id,ssd_involvements.invo_involvements_id,1,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_professional_id,ssd_involvements.invo_professional_id,2,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_professional_role_id,ssd_involvements.invo_professional_role_id,3,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_professional_team,ssd_involvements.invo_professional_team,4,varchar,255,varchar(255),255,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_referral_id,ssd_involvements.invo_referral_id,5,varchar,48,varchar(48),48,,,
mosaic,/workspaces/ssd-data-model/deployment_extracts/mosaic/live/ssd_deployment_individual_files/populate_ssd_data_warehouse.sql,,ssd_involvements,invo_involvement_start_date,ssd_involvements.invo_involvement_start_date,6,datetime,,datetime,,,,
