source_system,schema_name,table_name,field_count,first_source_file
systemc,,ssd_cin_assessments,10,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cin_assessments.sql
systemc,,ssd_cin_episodes,12,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cin_episodes.sql
systemc,,ssd_cin_plans,7,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cin_plans.sql
systemc,,ssd_cin_visits,6,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cin_visits.sql
systemc,,ssd_cla_care_plan,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_pre_cla_care_plan.sql
systemc,,ssd_cla_convictions,4,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_convictions.sql
systemc,,ssd_cla_episodes,12,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_episodes.sql
systemc,,ssd_cla_health,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_health.sql
systemc,,ssd_cla_immunisations,3,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_immunisations.sql
systemc,,ssd_cla_placement,11,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_placement.sql
systemc,,ssd_cla_previous_permanence,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_previous_permanence.sql
systemc,,ssd_cla_reviews,6,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_reviews.sql
systemc,,ssd_cla_substance_misuse,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_substance_misuse.sql
systemc,,ssd_cla_visits,6,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cla_visits.sql
systemc,,ssd_cohort,11,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cohort.sql
systemc,,ssd_contacts,6,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,,ssd_cp_plans,9,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,,ssd_cp_reviews,9,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,,ssd_cp_visits,7,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_visits.sql
systemc,,ssd_department,4,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_department.sql
systemc,,ssd_dim_date,23,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_dim_date.sql
systemc,,ssd_disability,3,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_disability.sql
systemc,,ssd_early_help_episodes,8,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_early_help_episodes.sql
systemc,,ssd_ehcp_active_plans,3,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_ehcp_active_plans.sql
systemc,,ssd_ehcp_assessment,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_ehcp_assessment.sql
systemc,,ssd_ehcp_named_plan,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_ehcp_named_plan.sql
systemc,,ssd_ehcp_requests,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_ehcp_requests.sql
systemc,,ssd_family,3,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_family.sql
systemc,,ssd_immigration_status,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_immigration_status.sql
systemc,,ssd_initial_cp_conference,13,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_initial_cp_conference.sql
systemc,,ssd_involvements,9,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_involvements.sql
systemc,,ssd_legal_status,5,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_legal_status.sql
