source_system,table_name,field_name,raw_row_count,source_file_count,distinct_full_type_count,distinct_size_count,distinct_nullable_count,distinct_ordinal_count,source_files
systemc,ssd_contacts,cont_contact_source_code,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,ssd_contacts,cont_contact_source_desc,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,ssd_contacts,cont_person_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_contacts.sql
systemc,ssd_cp_plans,cppl_cp_plan_end_date,2,2,1,0,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_cp_plan_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_cp_plan_initial_category,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_cp_plan_latest_category,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_cp_plan_ola,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_cp_plan_start_date,2,2,1,0,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_icpc_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_person_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_plans,cppl_referral_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_plans.sql
systemc,ssd_cp_reviews,cppr_cp_plan_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_date,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_due,2,2,1,0,1,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_meeting_id,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_outcome_continue_cp,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_participation,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
systemc,ssd_cp_reviews,cppr_cp_review_quorate,2,2,1,1,0,1,/workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_individual_files/systemc_sqlserver_v1.4.0_1_20260120.sql | /workspaces/ssd-data-model/deployment_extracts/systemc/live/ssd_deployment_proc_files/procs/ssd_cp_reviews.sql
